The maximum sample data size is 10000
	Data will NOT be randomized before use.
         n	 repetitions	   sort(sec)
       500	           4	    0.000312
       600	           3	    0.000446
       700	           2	    0.000608
       800	           2	    0.000829
       900	           1	    0.001011
      1000	           1	    0.001235
      2000	           1	    0.005273
      3000	           1	    0.010933
      4000	           1	    0.019320
      5000	           1	    0.030083
      6000	           1	    0.046431
      7000	           1	    0.058958
      8000	           1	    0.078748
      9000	           1	    0.097461
     10000	           1	    0.183457

	quickSort(): randomized - average case.
	Randomized Data will be used during sorting.
         n	 repetitions	   sort(sec)
       500	          15	    0.000067
       600	          16	    0.000064
       700	          16	    0.000064
       800	          10	    0.000106
       900	           8	    0.000136
      1000	          10	    0.000100
      2000	           5	    0.000229
      3000	           3	    0.000495
      4000	           2	    0.000660
      5000	           2	    0.000830
      6000	           1	    0.001049
      7000	           1	    0.001263
      8000	           1	    0.001434
      9000	           1	    0.001724
     10000	           1	    0.001890

	quickSort(): already sorted - worst case.
	Data will NOT be randomized before use.
         n	 repetitions	   sort(sec)
       500	           1	    0.001061
       600	           1	    0.001550
       700	           1	    0.002684
       800	           1	    0.002590
       900	           1	    0.004894
      1000	           1	    0.006146
      2000	           1	    0.018696
      3000	           1	    0.032749
      4000	           1	    0.057396
      5000	           1	    0.090001
      6000	           1	    0.129394
      7000	           1	    0.183417
      8000	           1	    0.263506
      9000	           1	    0.301777
     10000	           1	    0.369270
